"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"866","681","199903","2","202902","14260","0","1","2","65","31","68000","65","6.875","4","2","1","15","6","83700","866","2","360","2","299","10",NA,"8451.53533752193"
"867","806","199903","2","202902","16740","0","1","2","43","27","70000","43","7","3","2","1","29","6","28200","867","1","360","2","299","10",NA,"11219.3376103757"
"868","776","199903","2","202902","47644","0","1","2","51","19","73000","51","7","4","2","1","24","6","48000","868","2","360","1","299","10",NA,"10278.4796010681"
"869","672","199903","2","202902","45300","0","1","2","80","25","62000","80","6.875","4","2","1","10","5","33700","869","2","360","1","299","10",NA,"1876.56352499437"
"870","745","199903","2","202902","38060","0","1","2","47","14","44000","47","6.875","3","2","1","4","6","85000","870","1","360","2","299","10",NA,"7202.80780511926"
"871","766","199903","2","202902","45820","0","1","2","50","27","41000","50","7","3","2","1","18","6","66600","871","2","360","1","299","10",NA,"10401.8038009583"
"872","674","199903","2","202902","40484","0","1","2","70","35","84000","70","7.375","4","2","1","32","1","3800","872","1","360","1","299","10",NA,"10409.7881721436"
"873","758","199903","2","202902","42220","0","1","2","80","45","172000","80","7.25","4","2","1","5","6","95400","873","1","360","2","299","10",NA,"4500.77036127506"
"874","711","199903","2","202902","45300","0","1","2","69","14","80000","69","7.25","4","2","1","10","6","33700","874","3","360","2","299","10",NA,"13161.9246126224"
"875","759","199903","2","202902","14260","0","1","2","75","18","101000","75","6.5","4","2","1","15","5","83600","875","2","360","2","299","10",NA,"14208.3209145123"
"876","781","199903","2","202902",NA,"0","1","2","77","26","160000","77","6.375","4","2","1","46","6","78900","876","3","360","2","299","10",NA,"18446.7809023728"
"877","776","199903","2","202902","29820","0","1","2","59","30","116000","59","6.875","3","2","1","35","6","89100","877","1","360","1","299","10",NA,"19836.8709798267"
"878","727","199903","3","202902","19124","30","1","2","95","21","121000","95","6.875","4","2","1","46","5","75000","878","3","360","2","299","10",NA,"10067.3836010972"
"879","706","199903","2","202902","41620","0","1","2","75","39","167000","75","6.875","4","2","1","47","6","84000","879","2","360","2","299","10",NA,"30463.0842542654"
"880","753","199903","2","202902","16974","0","1","2","55","33","222000","55","6.875","4","2","1","16","6","60700","880","2","360","2","299","10",NA,"33245.2254337795"
"881","766","199903","2","202902","47644","0","1","2","46","36","240000","46","6.875","4","2","1","24","6","48000","881","1","360","2","299","10",NA,"30526.5067906236"
"882","645","199903","3","202902","40140","30","1","2","95","26","161000","95","7.25","4","2","1","5","5","91700","882","3","360","2","299","10",NA,"23550.0752442138"
"883","661","199903","3","202902","46060","36","1","2","95","38","108000","95","7","4","2","1","4","6","85700","883","3","360","2","299","10",NA,"13196.6494984458"
"884","600","199903","2","202902","13820","29","1","2","90","18","128000","90","7.125","3","2","1","2","6","35000","884","2","360","1","299","10",NA,"3693.21949743616"
"885","710","199903","2","202902","19740","12","1","2","85","21","112000","85","6.875","3","3","1","6","6","80400","885","2","360","2","299","10",NA,"16132.8004415749"
"886","780","199903","2","202902","12060","0","1","2","65","42","150000","65","6.5","3","3","1","11","5","30000","886","3","360","1","299","10",NA,"20672.3974428961"
"887","753","199903","2","202902","41940","0","1","2","78","30","99000","78","6.875","4","2","1","5","1","95000","887","2","360","1","299","10",NA,"27171.6141754554"
"888","772","199903","2","202902","38060","0","1","2","78","17","133000","78","7.125","4","2","1","4","5","85200","888","1","360","1","299","3",NA,"53962.7491144791"
"889","692","199903","2","202902","38060","25","1","2","86","37","114000","86","6.625","4","2","1","4","6","85200","889","2","360","2","299","10",NA,"15691.239138771"
"890","747","199903","2","202902","41940","0","1","2","54",NA,"240000","54","6.625","4","2","1","5","6","95000","890","1","360","1","299","10",NA,"29527.1255990252"
"891","762","199903","2","202902","36084","0","1","2","32","11","82000","32","6.375","4","2","1","5","6","94500","891","3","360","2","299","10",NA,"5272.70261844901"
"892","688","199903","3","202902","42220","0","1","2","75","22","109000","75","6.5","4","2","1","5","6","95400","892","3","360","2","299","10",NA,"6940.76111238048"
"893","670","199903","2","202902","19740","30","1","2","95","18","177000","95","6.75","4","2","1","6","5","80000","893","3","360","2","299","10",NA,"19175.8553693603"
"894","754","199903","2","202902","36540","0","1","2","68","35","93000","68","6.75","4","2","1","31","6","68000","894","3","360","2","299","10",NA,"13986.418449344"
"895","759","199903","2","202902",NA,"0","1","2","55","21","85000","55","6.75","4","2","1","39","6","97400","895","2","360","2","299","10",NA,"6271.70305178667"
"896","699","199903","2","202902","21780","0","1","2","71","21","89000","71","6.75","4","2","1","17","6","47600","896","2","360","1","299","17",NA,"28705.6037022272"
"897","785","199903","2","202902","37764","0","1","2","20","29","63000","20","6.75","4","2","1","21","6","1800","897","1","360","2","299","10",NA,"9004.03824636672"
"898","725","199903","2","202902","31700","0","1","2","52","25","65000","52","6.625","4","2","1","32","6","3100","898","3","360","2","299","3",NA,"27364.843670297"
"899","610","199903","2","202902","45820","0","1","2","80","13","75000","80","6.875","4","2","1","18","6","66500","899","2","360","2","299","10",NA,"9720.43398096936"
